FID	IID	PHENO
404	404	2.776347
405	405	2.372104
406	406	2.09837
407	407	3.588437
408	408	3.79832
409	409	5.262758
410	410	3.582309
411	411	4.317668
412	412	3.645654
413	413	3.596348
414	414	1.811183
415	415	2.049401
416	416	5.040755
417	417	4.144901
418	418	4.114879
419	419	1.449587
420	420	2.279041
421	421	3.590499
422	422	4.671279
423	423	4.147486
424	424	4.308686
425	425	3.238919
426	426	1.63852
427	427	4.036042
428	428	4.495751
429	429	2.562702
430	430	1.887365
431	431	3.282988
432	432	1.608084
433	433	3.27628
434	434	2.694252
435	435	4.494493
436	436	2.740163
437	437	3.527439
438	438	3.816001
439	439	1.44644
440	440	4.126685
441	441	2.036962
442	442	2.03333
443	443	5.442455
444	444	2.742445
445	445	2.231017
446	446	0.718927
447	447	4.895487
448	448	1.027038
449	449	2.591506
450	450	1.951402
451	451	3.409127
452	452	1.89026
453	453	3.240982
454	454	2.36112
455	455	2.683794
456	456	4.618717
457	457	3.025017
458	458	3.193449
459	459	2.08533
460	460	2.240909
461	461	2.586228
462	462	3.406673
463	463	4.427718
464	464	2.905175
465	465	2.63238
466	466	2.939564
467	467	3.004974
468	468	3.109027
469	469	4.03987
470	470	2.050053
471	471	4.430671
472	472	2.745197
473	473	2.295906
474	474	2.304638
475	475	1.902553
476	476	3.622361
477	477	3.462698
478	478	3.212045
479	479	3.725898
480	480	5.328348
481	481	2.188259
482	482	1.651357
483	483	3.829545
484	484	4.605577
485	485	2.35813
486	486	2.882294
487	487	3.330324
488	488	3.790172
489	489	3.930799
490	490	2.84136
491	491	4.396068
492	492	4.540672
493	493	3.356558
494	494	2.433373
495	495	4.018206
496	496	2.65102
497	497	4.999101
498	498	3.768707
499	499	4.69922
500	500	1.946737
501	501	1.946434
502	502	5.257622
503	503	4.170713
504	504	2.350572
505	505	4.196404
506	506	3.350247
507	507	3.158031
508	508	1.559399
509	509	2.037218
510	510	3.612339
511	511	4.359615
512	512	4.318102
513	513	2.248834
514	514	5.705541
515	515	3.711573
516	516	1.687307
517	517	1.894208
518	518	1.7478
519	519	3.651231
520	520	3.103629
521	521	3.683678
522	522	3.385829
523	523	3.924453
524	524	2.962413
525	525	3.757255
526	526	1.598091
527	527	4.037612
528	528	3.244366
529	529	1.955197
530	530	3.794864
531	531	3.461702
532	532	2.782871
533	533	1.592619
534	534	3.23038
535	535	4.779951
536	536	2.287838
537	537	0.820972
538	538	5.540593
539	539	1.387379
540	540	2.938775
541	541	3.112449
542	542	2.178058
543	543	5.047383
544	544	3.786083
545	545	2.948357
546	546	3.575551
547	547	1.980556
548	548	3.763921
549	549	4.076553
550	550	1.527503
551	551	1.914497
552	552	1.981481
553	553	1.887026
554	554	2.749713
555	555	3.859142
556	556	4.136711
557	557	4.33369
558	558	3.482255
559	559	4.54108
560	560	2.223544
561	561	3.763327
562	562	3.509297
563	563	2.404321
564	564	4.829939
565	565	4.812399
566	566	4.973685
567	567	2.814857
568	568	2.332482
569	569	2.81496
570	570	2.960471
571	571	2.083506
572	572	3.750593
573	573	3.747961
574	574	2.430051
575	575	2.891921
576	576	3.056989
577	577	1.609231
578	578	1.946094
579	579	2.979608
580	580	2.751538
581	581	5.307219
582	582	3.677517
583	583	1.960346
584	584	4.340234
585	585	4.305321
586	586	3.108011
587	587	3.204872
588	588	2.93609
589	589	4.890663
590	590	2.389157
591	591	1.926509
592	592	1.856588
593	593	5.505422
594	594	1.970276
595	595	4.859305
596	596	0.983858
597	597	4.021244
598	598	3.257714
599	599	4.075759
600	600	3.226716
601	601	4.902926
602	602	2.001016
603	603	2.318146
604	604	4.905759
605	605	2.833903
606	606	5.175566
607	607	2.268504
608	608	4.735679
609	609	2.586975
610	610	2.267795
611	611	2.775844
612	612	4.786751
613	613	2.910693
614	614	2.709445
615	615	2.18529
616	616	2.152327
617	617	1.969345
618	618	3.083285
619	619	4.779734
620	620	1.756834
621	621	4.370833
622	622	2.153664
623	623	2.598102
624	624	4.140553
625	625	2.839475
626	626	4.430595
627	627	3.335893
628	628	3.612544
629	629	2.650656
630	630	2.39369
631	631	1.826368
632	632	2.368
633	633	3.778957
634	634	2.082184
635	635	4.043163
636	636	5.283694
637	637	2.385317
638	638	2.558452
639	639	2.03492
640	640	2.340614
641	641	3.184302
642	642	4.990386
643	643	1.919776
644	644	1.858224
645	645	5.064845
646	646	1.466173
647	647	2.615572
648	648	2.989279
649	649	4.222003
650	650	2.161994
651	651	3.818862
652	652	4.699196
653	653	4.523025
654	654	4.338992
655	655	2.200222
656	656	2.744193
657	657	2.203341
658	658	1.831871
659	659	0.463546
660	660	2.010624
661	661	3.626845
662	662	2.159513
663	663	4.255022
664	664	3.316498
665	665	0.96809
666	666	2.634649
667	667	4.897542
668	668	3.565088
669	669	2.980419
670	670	3.852806
671	671	4.100095
672	672	4.177455
673	673	2.013387
674	674	2.354827
675	675	4.270181
676	676	3.528683
677	677	1.978493
678	678	1.93253
679	679	4.248841
680	680	2.273798
681	681	2.636333
682	682	2.239031
683	683	3.262931
684	684	3.689527
685	685	3.154691
686	686	4.469656
687	687	1.799811
688	688	3.21112
689	689	5.278307
690	690	1.828511
691	691	2.219829
692	692	1.930631
693	693	4.16453
694	694	2.268748
695	695	3.091671
696	696	3.821402
697	697	5.595226
698	698	2.139648
699	699	3.519776
700	700	2.589161
701	701	2.562585
702	702	2.165546
703	703	2.117425
704	704	2.346672
705	705	2.700089
706	706	3.871889
707	707	2.831924
708	708	4.672472
709	709	3.593905
710	710	4.761474
711	711	5.488025
712	712	4.172906
713	713	2.24698
714	714	2.372202
715	715	3.750565
716	716	3.109143
717	717	1.861561
718	718	6.42145
719	719	4.487409
720	720	2.203154
721	721	5.392961
722	722	2.78959
723	723	2.582619
724	724	3.030014
725	725	5.518163
726	726	2.272434
727	727	2.510699
728	728	2.716999
729	729	3.956455
730	730	1.689179
731	731	3.70357
732	732	4.583363
733	733	3.555668
734	734	1.487097
735	735	1.585112
736	736	2.970794
737	737	2.151405
738	738	3.150183
739	739	3.346179
740	740	3.309373
741	741	1.949028
742	742	2.052723
743	743	2.454916
744	744	3.766603
745	745	1.883708
746	746	3.277025
747	747	3.68167
748	748	1.218491
749	749	2.845815
750	750	4.149899
751	751	1.673897
752	752	4.608381
753	753	3.356226
754	754	5.241686
755	755	2.065377
756	756	0.744908
757	757	2.339132
758	758	3.351407
759	759	1.943212
760	760	4.409675
761	761	2.090811
762	762	4.735539
763	763	2.103764
764	764	2.37537
765	765	5.209056
766	766	1.752092
767	767	2.372467
768	768	3.273479
769	769	1.906589
770	770	4.467058
771	771	4.373557
772	772	3.363322
773	773	1.614559
774	774	2.033296
775	775	2.177644
776	776	4.538246
777	777	2.308179
778	778	2.945557
779	779	3.520318
780	780	4.754829
781	781	2.98311
782	782	3.35265
783	783	3.617646
784	784	1.400469
785	785	3.654517
786	786	2.378156
787	787	1.612818
788	788	3.908932
789	789	1.53131
790	790	2.399686
791	791	4.244656
792	792	2.05446
793	793	3.949188
794	794	2.411383
795	795	4.577761
796	796	2.616355
797	797	4.584476
798	798	1.882303
799	799	4.153598
800	800	1.705426
801	801	4.694264
802	802	4.943471
803	803	4.172253
804	804	4.182865
805	805	2.745183
806	806	3.792351
807	807	1.841287
808	808	3.823123
809	809	3.093591
810	810	3.202642
811	811	3.37656
812	812	2.636473
813	813	5.673951
814	814	2.894119
815	815	5.440095
816	816	5.033622
817	817	3.220068
818	818	2.98299
819	819	1.55085
820	820	1.9633
821	821	5.761797
822	822	4.800687
823	823	3.318491
824	824	3.895274
825	825	3.76465
826	826	4.585439
827	827	4.606741
828	828	5.609543
829	829	2.216011
830	830	3.553232
831	831	2.968868
832	832	1.2136
833	833	2.422474
834	834	3.493984
835	835	3.196474
836	836	2.475721
837	837	4.476145
838	838	1.754208
839	839	2.980337
840	840	2.170982
841	841	0.981847
842	842	2.301193
843	843	3.946783
844	844	2.383825
845	845	1.995463
846	846	2.148722
847	847	2.507918
848	848	2.27822
849	849	1.919896
850	850	2.508821
851	851	2.536947
852	852	2.301506
853	853	2.155353
854	854	1.851153
855	855	2.786391
856	856	4.727647
857	857	2.745137
858	858	3.778727
859	859	4.734003
860	860	4.226974
861	861	4.641171
862	862	2.061015
863	863	1.267645
864	864	4.173711
865	865	2.38006
866	866	3.702032
867	867	5.300106
868	868	3.175733
869	869	1.768213
870	870	3.900049
871	871	3.205148
872	872	4.033288
873	873	4.138227
874	874	2.833658
875	875	3.002606
876	876	5.237362
877	877	4.203623
878	878	3.002376
879	879	3.085616
880	880	3.626026
881	881	3.175439
882	882	1.57143
883	883	3.305836
884	884	2.944841
885	885	3.339465
886	886	2.888316
887	887	3.131327
888	888	2.158312
889	889	4.053106
890	890	2.674163
891	891	1.736951
892	892	1.905804
893	893	3.221363
894	894	4.580318
895	895	4.724932
896	896	3.024871
897	897	4.640596
898	898	3.818647
899	899	4.281073
900	900	2.095882
901	901	4.389849
902	902	2.540737
903	903	2.419838
904	904	4.15403
905	905	2.140845
906	906	3.703871
907	907	2.248055
908	908	4.494219
909	909	2.2293
910	910	2.779212
911	911	3.444577
912	912	3.261167
913	913	2.465182
914	914	3.905151
915	915	1.533975
916	916	2.230867
917	917	3.044048
918	918	3.155797
919	919	2.317556
920	920	2.235515
921	921	3.004242
922	922	1.964502
923	923	2.367119
924	924	4.75026
925	925	2.938653
926	926	3.375837
927	927	6.863109
928	928	2.578858
929	929	2.613261
930	930	2.81659
931	931	3.51419
932	932	4.043916
933	933	4.086999
934	934	2.868759
935	935	2.377015
936	936	4.00617
937	937	4.109759
938	938	2.518231
939	939	3.729017
940	940	2.069608
941	941	4.894061
942	942	2.436673
943	943	4.304418
944	944	3.649471
945	945	2.918864
946	946	2.15208
947	947	3.322464
948	948	3.961851
949	949	3.625796
950	950	3.969047
951	951	5.03538
952	952	4.165697
953	953	2.973142
954	954	2.554403
955	955	3.079452
956	956	3.140556
957	957	3.214732
958	958	2.020264
959	959	3.392987
960	960	3.728973
961	961	2.228492
962	962	3.279235
963	963	4.331854
964	964	1.600588
965	965	1.434756
966	966	2.042066
967	967	1.101472
968	968	3.319231
969	969	2.353523
970	970	4.380439
971	971	1.925737
972	972	3.401494
973	973	3.910815
974	974	3.447138
975	975	4.505541
976	976	1.154376
977	977	3.511004
978	978	3.36135
979	979	4.062071
980	980	2.144928
981	981	2.408673
982	982	1.977577
983	983	0.867267
984	984	4.08257
985	985	3.058292
986	986	2.234895
987	987	3.636002
988	988	4.46345
989	989	3.057513
990	990	3.561392
991	991	2.65203
992	992	3.563874
993	993	3.294951
994	994	4.497099
995	995	3.651587
996	996	3.649863
997	997	2.937007
998	998	3.128024
999	999	1.342911
1000	1000	5.314176
